date,time,location,operator,flight,route,aircraft,registration,cnln,aboard,fatalities,ground,summary
19450409,,"Kunming,China",ChinaNationalAviationCorporation,,Kunming-Sichang,DouglasC-47,88,,3,3,0,The cargo plane struck a mountain in the Himalayas under poor weather conditions.
19450414,1658,"Morgantown,WestVirginia",PennsylvaniaCentralAirlines,142,Pittsburgh-Morgantown,DouglasDc-3,Nc25692,2262,20,20,0,"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude."
19450419,535,"NearPerth,Australia",Military-U.s.Navy,,Perth-Adelaide,DouglasDc-3,39067,10017,13,13,0,Failed to gain altitude while taking off. The transport crashed into a hillside as it took off in heavy fog at Guildford Airport.
19450420,,"NearSteinreich,Germany",Lufthansa,,Berlin-Prague-Vienna-Munich,JunkersJu-53/3m,D-anaj,,20,18,0,Missing on an evacuation flight from Berlin to Munich. Shot down by Soviet forces south of Berlin.
19450420,640,"Sweetwater,Texas",Military-U.s.ArmyAirForces,,"Midland,Tx-Nashville,Tn",DouglasC-47-dl,41-18451,4513,25,25,0,Broke-up after entering an area of thunderstorms. Initial structural failure involved the elevator followed by the entire aircraft.
19450421,2205,"NearPiesenkofen,Germany",DeutscheLufthansa,,Berlin-Munich,Focke-wulfFw200,D-ashh,,21,21,0,Shot down by Allied forces 50 miles from its destination.
19450423,,"NorthBarrule,IsleOfMan,England",Military-U.s.AirForce,,Ridgewell-NuttsCorner,B17gFlyingFortress,43-38856,9834,31,31,0,"While cruising at an altitude of 2,000 feet, the aircraft hit the slope of Mt North Barrule located 2 miles south of Ramsey."
19450427,1240,WashingtonD.c.,PageAirways,,Washington-NewYork,Lockheed18Lodestar,Nc33328,2221,13,6,0,"Lost an engine during takeoff, settled back on the runway, overran the runway, rolled to the right and crashed into a drainage ditch and burned. Engine failure during a critical point in the take-off followed by the pilot executing an emergency landing under unfavorable conditions. Contributing factors were the strong gusts and ground turbulence which prevailed at the time and the presence of a deep ditch near the runway."
19450505,2226,"ManusIsland,NewGuinea",Military-U.s.ArmyAirForces,,Lorengau-Biak,DouglasC-54e-do,44-9043,27269,21,21,0,Crashed into a wooded area shortly after taking off from Sorido airstrip at night. Cause unknown.
19450506,1255,"Hindhead,England",Military-U.s.ArmyAirForces,,,Curtiss-wrightC-46d-cu,44-77839,33235,30,30,1,"Flying low because of poor visiblity, the aircraft struck a radar tower, lost its right wing, crashed and burned. Pilot error. Flying VFR in IFR conditions."
19450509,130,"Roye,France",Military-royalAirForce,,England-Brussels,AvroLancaster,Rf230,,31,31,0,The aircraft went in to a spin and crashed in a wooded area and caught fire.
19450513,1500,"IranJayas,NewGuinea",Military-U.s.ArmyAirForces,,,DouglasC-47b-dk,43-49788,27049,23,20,0,"Crashed into a mountain at 7,000 feet. Three passengers rescued two weeks later. All occupants were members of the women's military corps of the US Army."
19450530,920,"OffDrewin,IvoryCoast",Military-U.s.ArmyAirForces,,"Accra,Ghana-Monrovia,Liberia",DouglasC-47b-dk,44-76406,32738,21,21,0,Disappeared off the Atlantic coast after sending a distress message. A witness observed the plane hit the water at a 45 degree angle. No wreckage or bodies were ever found.
19450615,,China,ChinaNationalAviationCorporation,,,DouglasC-47,81,,3,3,0,"The aircraft crashed into a mountain in the Carstenz Range at an altitude of 14,200 ft. The wreckage was discovered in December 1970."
19450624,1030,"Gealdton,Australia",MacRobertsonMillerAirlines,,Perth-Geraldton-Carnarvon-PortHedland,DeHavillandDh-86a,Vh-usf,2310,11,2,0,"The takeoff appeared normal but the aircraft did not climb and turned back for a landing. It flew hangars at about 300 feet then made a steep turn to port, followed by a wide low circuit back to the runway with port wing low. When just inside the airport, it dropped heavily on the starboard main undercarriage, bounced, contacted the ground with the tail wheel and bounced again. Striking the ground for the third time, on the port main wheel, as it bounced higher, engine power was applied but the aircraft swung to the left, banking steeply until the left wings were torn off by ground contact. The aircraft cartwheeled and hit the ground nose-first."
19450625,750,"Swanage,England",Military-royalAirForce,,,ConsolidatedLb-30aLiberator,Jt985,,27,27,0,Crashed and burned on a hillside after experiencing engine failure.
19450629,,"Bangalore,India",Military-RoyalIndianAirForce,,,,,,2,2,36,Crashed into a village exploding and destoying several houses.
19450630,,Texas,Military-U.s.AirForce,,,BoeingTb-29aSuperFortress,44-69943,,12,12,0,
19450704,,NorthAtlanticOcean,Military-royalAirForce,,Montreal-Gander-Keflavik-Prestwick-Northolt,ConsolidatedLb-30aLiberator,Jt982,90030,15,15,0,Disappeared on a trans-Atlantic flight from Montreal to England.
19450711,,"NearKisumu,Kenya",Military-SouthAfricanAirForce,,Kisumu-Durban,DouglasC-47,6812,6812,28,28,0,Crashed  on an island  located in Winam Bay shortly after take off Kismu.
19450712,1436,"NearFlorence,SouthCarolina",EasternAirLines/Military-U.s.ArmyAirCorps,45,Boston-Ny-WashingtonDc-Jacksonville-Miami,DouglasDc-3-201c/ArmyA-26,Nc25647,2235,10,3,0,"After deviating off course 8 miles to avoid military traffic, the two planes collided at 3,000 ft. The commercial pilot landed the plane in a corn field.  Two occupants of the A-26"
19450728,949,"NewYork,NewYork",Military-U.s.ArmyAirForces,,Bedford-NewYork,NorthAmericanB-25dBomber,43-0577,87-8742,3,3,11,"A U.S. Army Air Force plane crashed into the 79th floor of the Empire State Building in heavy fog.  Lt. Col. William Franklin Smith Jr., the pilot, became disoriented while trying to land at Newark Airport.  Lt. Smith was told he had a 3 hour wait to land at Newark. Impatient to get his plane on the ground, he falsely declared he had official business at La Guardia Airport with the intention of diverting to Newark as soon as he was cleared. The 12 ton plane smashed a 20 ft. hole in the building. Fuel from the ruptured gas tanks poured out and set two floors ablaze killing 10 people. One engine exited the south side of the building and plunged into a penthouse below.  The second engine entered an elevator shaft and severed the cables plunging the car and the elevator operator 1,000 feet into a sub basement. Despite suffering a broken back, pelvis and legs, she survived."
19450801,950,"NearSanLuisPotosi,Mexico",LineasAereasMineras,,MexicoCity-Nogales,Boeing247d,Xa-duy,1723,12,12,0,Crashed into mountainous terrain after encountering engine failure..
19450803,1011,"FortDeFrance,Martinique",PanAmericanWorldAirways,216,PortOfSpain-FortDeFrance,SikorskyS-43,Nc15066,4306,14,4,0,The aircraft crashed while landing at Fort de France. The plane sank and 4 passengers drowned. The attempt by the pilot to land the aircraft in conditions of water surface not suitable for landing of a flying boat.
19450811,1600,"Ixtaccihuati,Mexico",Mexicana,,Tapachula-MexicoCity,DouglasDc-2-243,Xa-dot,2075,16,16,0,Crashed in Ixtaccihuatl mountain 40 miles east-sout-east of Mexico City. Navigational error as the crew's last message stated they were in an entirely different area.
19450907,213,"Florence,SouthCarolina",EasternAirLines,42,Miami-NewYorkCity,DouglasDc-3,Nc33631,4137,22,22,0,"Fire was discovered on board the aircraft after having passed Florence. The fire originated in the general area of the right side of the rear cargo compartment and lavatory. The aircraft descended to a lower altitude while returning to Florence, struck two large  trees and crashed.  A fire of undetermined origin in the rear cargo compartment or lavatory which resulted in the inability of the pilot to maintain altitude long enough to effect an emergency landing."
19450911,1015,"NearMilneBay,NewGuinea",Military-RoyalAustralianAirForce,,MilneBay-Dobodura,DouglasC-47a,A6556,25365,11,11,0,Left Milne Bay on routine flight  to Dobodura at 10:15. Crashed into sea near Milne Bay.
19450915,8,"NearKansas,Missouri",Military-U.s.ArmyAirForces,,,DouglasC-47b-dk,45-1011,34277,24,23,0,"Failed to gain altitude while taking off, struck trees, lost both wings, exploded and burned. Engine failure."
19450918,,"PuncakJaya,PapuaNewGuinea",Military-RoyalAustralianAirForce,,Pitu-Merauke-Bamaga-Townsville,DouglasC-47b-5-dk,A65-61,14554/25999,29,29,0,"A month later the wreckage was found  on the slope of a mountain located near Mt Puncak Jaya, southwest of Mulia, 100 feet from the summit. It"
19450928,,"NearChihkiang,China",Military-UnitedStatesArmyAirForce,,,CurtissC-46d,42-101183,30638,20,20,0,Crash 32 km southeast of Chinkiang under unknown circumstances.
19451005,105,"Lakeland,Florida",NationalAirlines,16,Miami-Jacksonville,Lockheed18Lodestar,Nc18199,2265,15,2,0,Crashed into a lake while attempting to execute a missed approach. The faulty execution of a missed approach procedure resulting in settling of the aircraft into a water area beyond the landing runway.
19451005,1250,"Elvetham,England",Military-royalAirForce,,England-Prague,ConsolidatedLb-40-aLiberator,,,23,23,0,Cashed and burned shortly after takeoff after experiencing an engine fire in the No. 2 engine.
19451007,30,"Rennes,France",Military-RoyalAirForce,,London-Cairo,ShortStirlingIv,Lj668,,26,26,0,Lost altitude while in a turn and attempting to land and crashed and burned short of the runway.
19451013,2045,"Melsbroek,Belgium",Military-royalAirForce,,London-Brussels-NewDelhi,ConsolidatedLb-30-aLiberator,Kl595,,31,31,0,The aircraft failed to gain speed or altitude and struck a hill at the end of the runway.
19451016,1130,"NearPeking,China",Military-U.s.ArmyAirForces,,Hankou-Peking,Curtiss-wrightC-46f-cu,44-78591,22414,59,59,0,Struck a radio transmission tower while on approach for landing at Nanyman field after encountering low clouds and poor visibility.
19451020,,"BetweenShanghiAndCanton,China",ChinaNationalAviationCorporation,,Shanghai-Canton,DouglasC-47,,,31,31,0,"Crashed into a mountain while en route, flying at a low altitude in adverse meteorological conditions."
19451020,,"TimorSea,AtlanticOcean",Military-RoyalAustralianAirForce,,"Ambon,Indonesia-Darwin,Australia",DouglasC-47b,A65-83,16127/32875,25,25,0,Disappeared en route.
19451023,,"NearChiringa,India",Military-RoyalAirForce,,,DouglasC-47b,Kj957,14804/26249,14,14,0,Penetrated a thunderstorm and broke-up.
19451024,,"Tarapoto,Peru",Faucett,,,FaucettF-19,Ob-pag-139,24,5,5,0,Crashed on takeoff.
19451024,,"Valetta,Malta",Boac,,London-Valetta-Cairo,DouglasC-47Skytrain,G-aghr,10097,16,9,0,The engine failed on takeoff and the plane stalled and crashed.
19451030,1915,"Chihchiang,China",Military-U.s.ArmyAirForces,,Zhijiang-Shanghai,Curtiss-wrightC-46a-ck,43-47228,299,50,45,0,Crashed and burned on takeoff striking a hill.  Possible engine failure or overloading.
19451101,1530,"Herrenalb,Germany",Military-U.s.ArmyAirForces,,Bovingdon-Schleissheim,DouglasC-47a-dk,42-93041,12909,30,26,0,The crew descended through low overcast to obtain their position.  Followed an river and crashed into wooded mountainside.  Navigator error in not informing the pilot of high terrain.
19451103,200,"NearChuka,India",Military-U.s.ArmyAirForces,,Chabua-Karachi,DouglasC-54g,45528a,35981,44,44,0,Crashed into the Himalaysas and burned while en route. Wreckage found a month later.
19451107,1115,"NearGrants,NewMexico",NationalSkywayFreightCo.,,Alberquerque-,BuddRb-1Conestoga,,,3,1,0,"After refueling in Alberquerque, the plane, carrying magazins to the west coast, crashed and burned after encountering snow and strong winds. The flight engineer survived."
19451108,2000,"OffCorpusChristi,Texas",Military-U.s.Navy/Military-U.s.Navy,,,MartinPbm-3s/MartinPbm-5,01710/69113,,27,22,0,The aircraft expierence a midair collision over Corpus Christi Bay while on a training flight.
19451109,2000,"NearBoccadi,Italy",Military-U.s.ArmyAirForces,,Athens-Naples,DouglasC-47a-dl,42-24363,10225,24,24,0,"The pilot radioed he was lost, shortly before impacting the ground while attempting to land in poor visibility."
19451111,1200,"NearPicinisco,Italy",Military-U.s.ArmyAirForces,,France-Athens,BoeingB-17g,43-9197,10175,20,20,0,The plane disappeared after the pilot radioed he was exeriencing heavy icing and asked to divert to Rome.  The plane was found 5 months later on Mt. Meta.
19451111,,Himalayas,Military-U.s.Army,,"Chabau,India-Karachi,Pakistan",DouglasC-54,,,44,44,0,"Crashed into a mountain ridge 200 ft. short of the summit, bounced over the top and crashed down the other side while  en route."
19451111,2345,"NearCastel,Libya",Military-royalAirForce,,,ShortStirling,Pj950,,29,29,0,"While taking off the aircraft experienced an engine fire, stalled and crashed and burned."
19451113,2015,"NearTacloban,Philippines",AustralianNationalAirways,,,DouglasC-48,Vh-cdc,,17,16,,"Crashed into the sea afte an aborted landing at the island of Leyte. The plane touched down hard, pulled up, circled and crashed into the sea. Pilot error. Decision to land in unfavorable weather."
19451115,914,NearJacquinotBayNewGuinea,Military-RoyalAustralianAirForce,,Lae-Finschhafen-JacquinotBay-Rabaul,DouglasC-47Dakota-dk,A6554,26640,28,28,0,"Crashed into a 7,598 ft. mountain in the region of Wide Bay, 150 feet below the ridge, shortly after taking off. There were Australian and Indian soldiers on board."
19451122,1000,"White'sFarm,England",Military-royalAirForce,,Merryfield-Bombay,ConsolidatedLb-30aLiberator,Kh126,,27,27,0,"The aircraft crashed into a hill shortly after takeoff after and  making a turn, before reaching the prescribed altitude."
19451203,1330,"NearRochefort,France",Military-royalAirForce,,"India-Cambridge,England",ConsolidatedLb-30aLiberator,Kh125,,28,28,0,Crashed in severe turbulence in thunderstorms after losing the right wing and breaking up.
19451205,2000,OffTheFloridaCoast,Military-U.s.Navy,19,,FiveGrummanTbmAvengers,,,14,14,0,"The five aircraft,"
19451205,1950,"OffSmyrna,Bahamas",Military-U.s.Navy,,Patrol,MartinPbmMariner,59225,,13,13,0,"Twenty minutes after taking off, while cruising at low height, the aircraft went out of control and crashed in an explosion into the Sargasso Sea,  The crew may have lost their situational awareness or suffered a spatial disorientation and lost control of the aircraft while flying by night over the sea, without any ground visual references."
19451208,113,"NearBillings,Montana",Military-U.s.Army,,Minneapolis-Fargo-Billings,DouglasC-47,45-0922,16925/34183,21,17,0,Crashed into a field after hitting trees while attempting to land in a snowstorm.
19451218,1010,"Voksenkollen,Norway",Military-RoyalAirForce,,DownAmpney-Copenhagen-Oslo,DouglasC-47b,Kn413,16090/32838,17,17,0,Flew into the side of a hill after icing caused loss of power while attempting to land.
19451225,1930,"Bangui,FrenchEquatorialAfrica",AirFrance,,Paris-N’djamena-Bangui-Antananarivo,Lockheed18Lodestar,F-balv,2380,8,8,0,The aircraft went out of control and crashed in a wooded area located about 60 km west of Bangui Airport.
19451225,,"NearDudinka,Russia",PolyarnyaAviatsiya,,,DouglasDc-3,,,10,10,0,Crashed 50 miles northwest of Norilsk after catching fire in the air.
19451230,2113,"NewYorkCity,NewYork",EasternAirLines,14,Philadelphia-NewYorkCity,DouglasDc-3,Nc18l23,1999,12,1,0,"The pilot, in the belief that he was encountering engine trouble, attempted a landing despite a landing approach which was too high and too fast. Initial contact with the runway was made at a point which provided insufficient room for a landing roll and at an airspeed considerable in excess of normal. The pilot was unable to bring the aircraft to a stop in time to avoid overshooting the runway. The decision of the pilot in attempting a landing from an approach which was too high and too fast."
19460106,359,"Birmingham,Alabama",PennsylvaniaCentralAirlines,105,"NewYorkCity-Birmingham,Al",DouglasDc-3,N21786,4131,11,3,0,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast."
19460109,,"Changchun,China",Military-ChineseAirForce,,,DouglasC-47,,,18,18,0,
19460114,,"NearNetrubezh,Russia",Aeroflot,,"Kharkov,Ukraine-Moscow",LisunovLi-2,Sssr-4150,,22,22,0,Experienced severe icing resulting in buffeting and structural failure.
19460115,1825,"Marseilles,France",Military-royalAirForce,,,DouglasC-47Dakota,Kn557,33171,25,23,0,Crashed into a mountainside in a snowstorm.
19460118,1103,"Cheshire,Connecticut",EasternAirLines,16b,NewYork-Boston,DouglasDc-3-201e,Nc19970,3254,17,17,0,"The aircraft lost control and spiraled into the ground after the No. 1 engine caught on fire and the left wing separated from the aircraft. The fire, caused by the failure of a fuel line or fuel line connection, led to failure of the left wing."
19460119,,"CrowsnestPass,Alberta,Canada",Mililtary-RoyalCanadianAirForce,,"Comox,Bc-Greenwood,ns",DouglasDc-3Dakota,,,7,7,0,Collided with Mt. Ptolemy while en route.
19460130,,"NearLeMans,France",Military-RoyalAirForce,,,DouglasC-47b,Kn500,16277/33025,11,11,0,
19460131,247,"Mt.Elk,Wyoming",UnitedAirLines,14,Boise-Denver,DouglasDc-3-194h,Nc25675,2147,21,21,0,"The aircraft crashed into Elk Mountain after the crew made an unauthorized deviation from the prescribed route at an altitude insufficient to assure adequate clearance over Elk Mountain. Flight had originally filed for 13,000 ft.  But later amended the flight plan to 11,000 ft. Elk Mountain is 11,152 ft. MSL."
19460205,,"Negros,Philippines",Military-U.s.ArmyAirForces,,Iloilo-Cebu,DouglasC-47,,,20,20,0,Crashed into mountainous terrain while en route.
19460221,,"Charlottetown,Pe,Canada",BritishOverseasAirways,,,Consolidated32-2LiberatorIi,G-agem,26,14,1,0,Crashed while attempting to land. Icing.
19460303,812,"LiveOakSprings,California",AmericanAirlines,6-103,Dallas-Tucon-SanDiego,DouglasDc-3-227b,Nc21799,2203,27,27,0,"While on approach to San Diego, the aircraft flew into Tierra Blanca Mountain at an altitude of 4,500 feet in fog, exploded and burned. The crew descended into instrument conditions to an altitude below that required to maintain clearance over Thing Mountain. The reason for the descent was not determined."
19460305,1700,"NearPrague,Czechoslovakia",CeskoslovenskeAerolinie,,Paris-Prauge,JunkersJu-52/3m,Ok-zdn,,15,12,0,Crashed and burned while approaching Ruzyne Aerodome to land after experiencing engine problems.
19460310,2055,"OffHobart,Tasmania",AustralianNationalAirways,,Hobart-Melbourne,DouglasDc-3,Vh-aet,6013,25,25,0,The aircraft crashed 10 mins after takeoff from Hobart. Inadvertent engagement of the autopilot instead of the fuel crossfeed.
19460317,,"NearNanking,China",Military-ChineseAirForce,,Shanghai-Nanking,,,,20,20,0,Crashed into mountainous terrain in low visibility while en route.
19460318,,"BetweenChungkingAndShanghai,China",ChinaNationalAviationCorporation,,Chunking-Shanghai,,139,,,,,Disappeared while en route. Plane never located.
19460319,1145,"HobartMills,California",Military-U.s.ArmyAirForces,,"Stockton,Ca-Ogden,Ut",DouglasC-47b,45-1085,,26,26,0,The aircraft lost its right wing and disintegrated over Donner Summit for reasons unknown.
19460323,,"OffCeylon,CocosIslands,IndianOcean",BritishOverseasAirways/qantas,,Karachi-Australia,Avro691Lancastrian1,G-aglx,1178,10,10,0,Disappeared between Ceylon and the Cocos Islands while en route. Aircraft owned by BOAC and operated by both airlines on Sydney-London services
19460401,1000,"NearCraigavad,NorthernIreland",RailwayAirServicesLtd.,,Liverpool-Belfast,DeHvilland89aDragonRapide,G-aerz,,6,6,0,Crashed 5 miles north northeast of belfast while attempting to land in advese weather. Pilot error. The pilot failed to maintain a course necessary to avoid higher terrain.
19460405,1115,"Rabat,Malta",Military-RoyalBritishNavy,,,VickersWellingtonBomber,He-274,,4,4,16,"The Wellington was engaged in exercises with a Spitfire fighter. The fighter was using the Wellington as a dummy target and the Wellington was to take evasive action. When the bomber was between 4,000 and 5,000 feet altitude, it turned to port and started diving at 20 degrees. It kept on loosing altitude till it crashed into houses in the center of Rabat. No distress signal was transmitted to either the fighter pilot or ground control.  The probable cause of the accident was leakage of hydraulic fluid which somehow heated and released fumes in the cockpit rendering the crew unconcious."
19460408,,"NearShensi,China",,,Shensi-Yenan,,,,14,14,0,
19460422,,"LaLiberiad,Nicaragua",Taca,,LaLiberiad-Managua,Lockheed14SuperElectra,An-acc,,21,20,0,Crashed on takeoff.
19460430,,"Pindi-khut,india",Military-RoyalAirForce,,,DouglasC-47a,Fz559,12094,12,12,0,Broke up in midair and crashed.
19460510,,"Munson,Florida",MilitaryU.s.Navy/Military-U.s.Navy,,,Pby4-2Privateer/Pb4y-2Privateer,,,28,28,0,Collided in midair while a fighter made practice diving maneuvers on the formation.
19460516,100,"Richmond,Virginia",VikingAirTransport,,Richmond-Atlanta,DouglasDc-3,Nc53218,19626,27,27,0,"Engine trouble after takeoff forced the crew to return to Richmond. While the crew was attempting to land a second time, an engine was shut down because it was running rough. The pilot apparently shut down the wrong engine. The plane stalled and crashed to earth, nose first. Inability of the crew to maintain adequate control of the aircraft to effect an emergency single-engine instrument approach under adverse weather conditions."
19460522,1300,"Oslo,Norway",DnlNorwegianAirLines,,Oslo-Stockholm,JunkersJu-52/3m,Ln-lab,6048,14,13,0,Crashed into Oslo Fjord shortly after takeoff. Engine trouble forced the plane back but it stalled and crashed into trees and a house.
19460601,740,"OffAmalfi,Italy",Military-U.s.ArmyAirForces,,Cairo-Rome,DouglasC-54-do,44-9078,27304,38,30,0,"A fire of undetermined origin erupted in the cockpit. The crew  was unable to control the smoke and flames, lost control and the aircraft and crashed. Eight aboard parachuted to safety."
19460609,1030,"TabogaIsland,Panama",Military-U.s.ArmyAirForces,,,DouglasC-54d-dc,43-17231,22181,23,23,0,Crashed into a summit after flying below the prescribed altitude.
19460609,1315,"NearAbeokuta,Nigeria",Military-royalAirForce,,Kano-Ikeja,DouglasC-47Dakota,Kg747,25291,18,18,0,"Flying low to avoid poor weather, the aircraft crashed while en route from Kano to Ikeja."
19460629,,OffMalaya,Military-RoyalAirForce,,,DouglasC-47b,Kj918,14641/26086,18,18,0,Disappeared.
19460629,,"Pau,France",AirFrance,,,JunkersJu-52/3m,F-bajs,Aac020,3,2,0,The cargo  plane struck power lines and crashed while attempting to take off.
19460709,2010,"Holyoke,Massachusetts",Military-U.s.ArmyAirForces,,,BoeingB17g,43-39136,,25,25,0,Struck a slope on Mt. Tom during an approach to land at Westover Field.
19460711,,"Reading,Pennsylvania",TransContinentalAndWesternAir,513,TrainingFlight,LockheedL-049Constellation,Nc86513,2040,6,5,0,"The flight crashed due to an in-flight fire caused by failure of a generator lead-through stud installation in the baggage compartment causing intense heat due to electrical arching, ignition of fuselage insulation and  creation of smoke rendering the crew incapable of controlling the aircraft. The plane crashed into powerlines and trees and burst into flames. The accident led to a 30-day grounding of all L-049s. The plane was named Star of Lisbon. Training flight."
19460713,,"Tsinan,China",CentralAirTransport,,,CurtissC-46,,,49,13,0,The aircraft crashed 1 mile from the airfield shortly after takeoff due to engine failure.
19460717,,"Cuenca,Ecuador",Andesa,,Guayaquil-Cuenca,CurtissC-46d-10-cu,Hc-sca,32982,30,30,0,Overshot the runway. The pilot was unable to regain altitude and the plane crashed into a hill and burst into flames.
19460718,2110,"Goodland,Kansas",Military-U.s.ArmyAirCorps,,Topeka-Denver,DouglasC-47,,,13,13,0,Crashed into a field during a thunder and lightning storm.
19460720,1215,OffThePanamaCoast,Military-,,,BoeingB-17g/BoeingB-17g,4485624/4485626,,20,20,0,"The two aircraft collided in midair, 20 miles north of the Panamanian island of Coiba while searching for a missing plane. Ten died aboard each aircraft."
19460725,,"Bassein,Burma",Military-royalAirForce,,,DouglasC-47Dakota,Kn585,33219,22,22,0,Crashed into a swamp soon after taking off after suffering structural failure of the left wing in adverse weather conditions.
19460726,830,"NearHuatesco,Veracruz,Mexico",CommunicacionesAereosDeVeracruz,,Jalapa-Cordoba,FairchildPilgrim100a,Xa-dej,,9,9,0,"Returned to the airport after suffering engine failure, the plane crashed 40 miles southeast of Jalapa."
19460807,,"Oslo,Norway",BritishEuropeanAirways,,Northolt-Oslo,DouglasC-47a-10-dk,G-ahcs,12348,16,3,0,"Flew into trees on Mistberget mountain at 2,000ft. while on approach to Oslo. Pilot error. Descended too early.  Inexperience in radio range flying and inadequate equipment."
19460809,,"Lakehurst,NewJersey",AtlanticCentralAirlines,,AtlanticCity-Newark,Lockheed18-56Lodestar,,,6,4,0,Crashed and burned while attempting to glide in for an emergency landing at Lakhurst Field.
19460814,,"Malta-luqa,Malta",Boac,,,DouglasC-47a,G-aght,10103,5,1,0,"The port engine and, later, the starboard engine failed as the result of fuel starvation. Circumstantial evidence suggests strongly that this was caused by the inadvertent selection of the auxiliary fuel tanks which at that time contained only a small amount of fuel."
19460820,615,"Rouen,France",BritishOverseasAirways,,Palestine-London,Avro691Lancastrian1,G-agmf,1186,9,8,0,Descended through clouds and crashed. Premature descent by the crew without establishing their position.  Training flight.
19460821,419,"Moline,Illinois",TransLuxuryAirlines,878,Teterboro-Chicago-SanFrancisco,DouglasC-47-dl,N51878,4542,25,2,0,"While the aircraft was flying near Moline, the No. 1 engine failed. The prop was feathered and a descent initiated for an emergency landing.The aircraft overshot the landing and a  go-around was executed. A left turn was made with the gear and flaps extended. The left wing touched the ground and the aircraft cartwheeled. The engine failure was caused by a No. 5 cylinder fracture."
19460824,,"Cairo,Egypt",Misrair,,,AvroAnson,Su-adj,1272,9,6,0,Crashed and caught fire.
19460831,,"NearPrinceRupert,BritishColumbia,Canada",QueenCharlotteAirlines,,Stewart-PrinceRupert,SupermarineStranraer,Cf-byl,,7,7,0,Crashed in Chatham Sound while preparing to land in heavy fog.
19460903,1700,"Holtug,Denmark",AirFrance,,Copenhagen-Paris,DouglasDc-3,F-badb,11714,22,22,0,"Shortly after takeoff, the aircraft crashed into a field 40 miles south of Copenhagen, exploding and bursting into flames. One of the engines had caught fire prior to the crash resulting from a fuel leak."
19460904,915,"LeBourget,France",AirFrance,,Paris-Croydon,DouglasDc-3,F-baxd,42975,26,20,1,Lost altitude after losing an engine on takeoff  and crashed into a factory yard.
19460905,200,"Elko,Nevada",Trans-luxuryAirlines,850,NewYorkCity-SanFrancisco,DouglasDc-3,Nc57850,9214,22,21,0,The aircraft lost contact with the ground in fog and crashed into a hillside while attempting to land at Elko Airport. A two-year-old boy was the only survivor. The pilot continued the approach after losing visual contact with the airport due to fog. Unfamiliarity of the pilot with the terrain. Insufficent fuel aboard to proceed to an alternate landing site.
19460907,,"Bathurst,Gambia",BritishSouthAmericanAirways,,"Bathrust,-Argentina",Avro685YorkI,G-ahew,1300,24,24,0,"The aircraft crashed shortly after takeoff after a loss of control by  the captain.  Loss of control by the captain for unknown reasons with mishandling of the controls the most likely explanation. The aircraft was named ""Star Leader."""
19460907,,"Nome,Alaska",Mt.MckinleyAirfreight,,,DouglasC-47a,,,4,4,0,The cargo plane went off course and struck a fog covered mountain as it circled to land.
19460915,,"Estevan,Saskatchewan,Canada",Military-RoyalCanadianAirForce,,,DouglasC-47aDakota,962,12544,21,21,0,The pilot lost control of the aircraft after attempting a go-around maneuver.
19460917,117,"Brussels,Belgium",Sabena,,Brussels-Croydon,DouglasC-47-dl,Oo-aur,4549,7,1,0,During its climb the plane rolled and crashed into hangers. Loss of airspeed for undetermined reasons.
19460918,415,"NearGander,Newfoundland",Sabena,,Brussels-Shannon-Gander-NewYorkCity,DouglasDc-4-1009,Oo-cbg,42986,44,27,0,The aircraft crashed 24 mi SW of the runway at Gander. Improper approach procedures by the pilot in poor weather.
19460919,,"NearTripoli,Libya",Military-royalAirForce,,"St.Mawan,England-Almaza,Egypt",AvroLancaster,Nx690,,25,25,0,Crashed after possibly being hit by lightning.
19460920,,"LochiMountain,China",ChinaNationalAviationCorporation,,"Sichang-Kunming,Yunnan",CurtissWrightC-46,,,28,28,0,"Crashed into a 15,000 ft. mountain shortly after taking off from Sichang."
19460925,931,NearHongKongInternationalAirport,Military-RoyalAirForce,,HongKong-Singapore,DouglasC-47b-25-dk,Kn414,16091/32839,19,19,0,"The aircraft departed Hong Kong, Runway 31, climbing to a height of 700-800 feet. At that point the airplane lost control and crashed. The Dakota possibly stalled after encountering turbulence from the foothills."
19460927,,"NearMilngavie,Stirlingshire,Scotland",RailwayAirServiceLtd.,,Islay-Glascow,DeHavilland89aDragonRapide,G-afff,,7,7,0,Crashed into a hill in low overcast weather. Navigation error.
19460927,1730,"RioDoce,Brazil",PanairDoBrasil,,BeloHorizonte-RioDeJanerio,DouglasDc-3a-228d,Pp-pch,4087,25,25,0,Crashed into a mountainside north of Rio de Janerio after being possibly struck by lightning.
19461003,330,"Stephenville,Newfoundland",AmericanOverseasAirlines,,Gander-Shannon,DouglasC-54e-5-do,Nc90904,27290,39,39,0,"Took off from Gander and flew in a straight line into a mountain ridge 71 miles from the airport. The aircraft was named ""Flagship New England.""  It can be concluded that the captain was not alert to the procedure necessary for a safe climb from the runway. The action of the pilot in maintaining the direction of take-off toward higher terrain over which adequate clearance could not be gained."
